,younger,older,all
7Networks_LH_Vis_1,0.8214599508572602,0.7896274653031368,0.8098747500421157
7Networks_LH_Vis_2,0.8080363871404073,0.8415247602769861,0.8146454376478254
7Networks_LH_Vis_3,0.8616481128131622,0.8029691573806141,0.8450843810717916
7Networks_LH_Vis_4,0.7742602647707203,0.7833528573169322,0.7797354603467586
7Networks_LH_Vis_5,0.765139617999317,0.8136682747204093,0.7906872421191645
7Networks_LH_Vis_6,0.7897677306616563,0.847834501440554,0.8009375289256441
7Networks_LH_Vis_7,0.6415980777576389,0.7906620860377519,0.6999245904395016
7Networks_LH_Vis_8,0.8264192841298488,0.8526746666983053,0.8476099321228407
7Networks_LH_Vis_9,0.8466039434899327,0.8398840873024992,0.8445486180182745
7Networks_LH_SomMot_1,0.5732373446156923,0.2601101895654452,0.48340866032465685
7Networks_LH_SomMot_2,0.8194283653512412,0.7829798457790942,0.7792442960997447
7Networks_LH_SomMot_3,0.8502767936774397,0.9078974323703443,0.910046160476972
7Networks_LH_SomMot_4,0.7985572708507513,0.7824042262080575,0.7910883130282909
7Networks_LH_SomMot_5,0.846068465245824,0.7670264674884527,0.8010121579727594
7Networks_LH_SomMot_6,0.8258297361544945,0.8543242438572819,0.8240936966086333
7Networks_LH_DorsAttn_Post_1,0.6426070984993532,0.838916598745801,0.7701213942471796
7Networks_LH_DorsAttn_Post_2,0.7147408543160705,0.76789874612015,0.7090628094493742
7Networks_LH_DorsAttn_Post_3,0.749348862325766,0.5623702657293774,0.6909751083930131
7Networks_LH_DorsAttn_Post_4,0.839568724103992,0.8471362333701553,0.851503256403003
7Networks_LH_DorsAttn_Post_5,0.6351382459490671,0.8183983169476785,0.7741042559075624
7Networks_LH_DorsAttn_Post_6,0.7010624697819748,0.5305348406368781,0.6524815042117186
7Networks_LH_DorsAttn_PrCv_1,0.8475154429195588,0.8775180335441982,0.8746493398101453
7Networks_LH_DorsAttn_FEF_1,0.8248870098831813,0.7618245385269709,0.7793343549968885
7Networks_LH_SalVentAttn_ParOper_1,0.6465801998797118,0.7875774175970733,0.7056339800241006
7Networks_LH_SalVentAttn_FrOperIns_1,0.9287356316429178,0.9179695969057179,0.9264229604654284
7Networks_LH_SalVentAttn_FrOperIns_2,0.8199449485260424,0.9459656310456916,0.8866823258193841
7Networks_LH_SalVentAttn_PFCl_1,0.8369460636173744,0.8529995667116641,0.8626145541132215
7Networks_LH_SalVentAttn_Med_1,0.795741571278852,0.8477115729926533,0.8185579648698436
7Networks_LH_SalVentAttn_Med_2,0.6843775483756818,0.764790486320335,0.7452475209746248
7Networks_LH_SalVentAttn_Med_3,0.7965877537918253,0.8486922521909541,0.8388004996136751
7Networks_LH_Limbic_OFC_1,0.7495934870838217,0.8981277813247268,0.8518233179327896
7Networks_LH_Limbic_TempPole_1,0.7559625069872807,0.8922362508071963,0.8349618506796692
7Networks_LH_Limbic_TempPole_2,0.7992540414127334,0.8251903993300878,0.822239117757783
7Networks_LH_Cont_Par_1,0.6001921287219013,0.8485403190588324,0.7777355726184824
7Networks_LH_Cont_PFCl_1,0.8970550822186579,0.8686218328672877,0.8985511636663696
7Networks_LH_Cont_pCun_1,0.8039962076525349,0.7059183978384189,0.8343026835491456
7Networks_LH_Cont_Cing_1,0.723378642553827,0.8463584251826766,0.8054433778221917
7Networks_LH_Default_Temp_1,0.7915928091257803,0.8458476880995792,0.8292546466627815
7Networks_LH_Default_Temp_2,0.6776752226220889,0.6355119340812365,0.699984972243053
7Networks_LH_Default_Par_1,0.6297531839666314,0.7824478424513795,0.6781530271973369
7Networks_LH_Default_Par_2,0.8896425436568443,0.8335317469041583,0.871789332172061
7Networks_LH_Default_PFC_1,0.6378417370801781,0.8981438555971683,0.8104933437744642
7Networks_LH_Default_PFC_2,0.8989348086767084,0.8829271471658905,0.8809921963923614
7Networks_LH_Default_PFC_3,0.7679142681564415,0.8637899230707975,0.8302002742971374
7Networks_LH_Default_PFC_4,0.8866152357818298,0.8975824457988876,0.8973078629325909
7Networks_LH_Default_PFC_5,0.8551630885671315,0.8985305685982221,0.8936196027143364
7Networks_LH_Default_PFC_6,0.8211126385359784,0.8683282217015118,0.8726524022542451
7Networks_LH_Default_PFC_7,0.7518736074539153,0.8666056724611144,0.8248710835793588
7Networks_LH_Default_pCunPCC_1,0.8390693912371119,0.8415631273040487,0.8433320220324746
7Networks_LH_Default_pCunPCC_2,0.6806806106043892,0.8385424000853019,0.7962023860396613
7Networks_RH_Vis_1,0.8291001170104445,0.7665446996935096,0.7990508848517247
7Networks_RH_Vis_2,0.8966439642435055,0.8933054637336948,0.8976073314922598
7Networks_RH_Vis_3,0.6536365582775011,0.8416904594795434,0.7515231480736948
7Networks_RH_Vis_4,0.8773582193946389,0.8782488751191571,0.8764471970742992
7Networks_RH_Vis_5,0.8406230476117598,0.9410208214374993,0.88499724557686
7Networks_RH_Vis_6,0.8235862956394611,0.8653753160754702,0.838644499528973
7Networks_RH_Vis_7,0.7247611084588707,0.7741622958426587,0.7744152238891814
7Networks_RH_Vis_8,0.8131136837347144,0.9084645110766132,0.8535909414838928
7Networks_RH_SomMot_1,0.8310168186961854,0.9073176315729178,0.863464080054708
7Networks_RH_SomMot_2,0.8103391236221469,0.9129542391878331,0.8453534986495744
7Networks_RH_SomMot_3,0.9158553297639266,0.9035478252699197,0.9026284440076392
7Networks_RH_SomMot_4,0.7456969834639994,0.8389672720455651,0.8326333278784852
7Networks_RH_SomMot_5,0.7173882099443476,0.7366776269957733,0.7187805142671119
7Networks_RH_SomMot_6,0.7538790135175241,0.8300187003814468,0.8171192266462415
7Networks_RH_SomMot_7,0.745308232708391,0.651022987807518,0.7256356003798943
7Networks_RH_SomMot_8,0.8487382702058023,0.8640165748204705,0.8479891101119855
7Networks_RH_DorsAttn_Post_1,0.8211657888000207,0.8787368293792747,0.8368238028663967
7Networks_RH_DorsAttn_Post_2,0.8612652225237976,0.831693733259789,0.8289301133728049
7Networks_RH_DorsAttn_Post_3,0.7877147969879909,0.8612304553948598,0.8774646779116733
7Networks_RH_DorsAttn_Post_4,0.7599131096793912,0.778891723832374,0.7459246505098537
7Networks_RH_DorsAttn_Post_5,0.7316544360565815,0.8047610134841902,0.7557344015701004
7Networks_RH_DorsAttn_PrCv_1,0.9416127553651907,0.9234606413076917,0.9313167516945331
7Networks_RH_DorsAttn_FEF_1,0.7995725482388325,0.7507130929520698,0.7737863595346728
7Networks_RH_SalVentAttn_TempOccPar_1,0.8066251974308666,0.8412956861881449,0.8157886670579095
7Networks_RH_SalVentAttn_TempOccPar_2,0.6798853194352069,0.8737420985734103,0.8454361250131108
7Networks_RH_SalVentAttn_FrOperIns_1,0.8334158493582309,0.790614624344291,0.8337252090826892
7Networks_RH_SalVentAttn_Med_1,0.7364788595823584,0.8079996459434715,0.7412245702428206
7Networks_RH_SalVentAttn_Med_2,0.7712403576210409,0.8988171940575559,0.8509698373624798
