,t,r,p,p_fdr
7Networks_RH_SomMot_6,-0.10585648248677615,-0.0038065313763382593,0.9157248710837579,0.944046258849235
7Networks_RH_SomMot_7,-1.101956766468977,-0.03968084537773166,0.27083970984856237,0.7965873819075363
7Networks_RH_SomMot_8,-0.3034056408463928,-0.01091267157408251,0.7616659125070568,0.890838284484064
7Networks_RH_DorsAttn_Post_1,0.32918529399149266,0.011856087787317442,0.7421089089031565,0.890838284484064
7Networks_RH_DorsAttn_Post_2,-1.2409247979195497,-0.04455037475271473,0.21502572099985987,0.7167524033328663
7Networks_RH_DorsAttn_Post_3,0.36890066986197767,0.01329601726209166,0.7123075703892017,0.890838284484064
7Networks_RH_DorsAttn_Post_4,-0.3221376325382401,-0.01161699773969277,0.7474397822705294,0.890838284484064
7Networks_RH_DorsAttn_Post_5,-1.3639824390244277,-0.04892409650755064,0.17298613669199261,0.7167524033328663
7Networks_RH_DorsAttn_PrCv_1,0.31551742190666643,0.011363981155031464,0.7524579048111808,0.890838284484064
7Networks_RH_DorsAttn_FEF_1,-0.7348200531626062,-0.026375973529461052,0.4626809473061294,0.890838284484064
7Networks_RH_SalVentAttn_TempOccPar_1,1.1750870459370313,0.04221723167343791,0.24033683412396445,0.7282934367392861
7Networks_RH_SalVentAttn_TempOccPar_2,-0.35212796671462054,-0.012644285862158667,0.724842011758599,0.890838284484064
7Networks_RH_SalVentAttn_FrOperIns_1,-0.8321145528423215,-0.02988052406305983,0.40561200952732845,0.8630042755900605
7Networks_RH_SalVentAttn_Med_1,-0.9013038474600498,-0.032350957544763824,0.3677188469765643,0.8274106934363336
7Networks_RH_SalVentAttn_Med_2,-0.9722166556730537,-0.03484060389803248,0.33125832073577677,0.807947123745797
7Networks_RH_Limbic_OFC_1,0.5717901435345477,0.02054642923549344,0.5676375595031667,0.890838284484064
7Networks_RH_Limbic_TempPole_1,1.0833415289152581,0.0389276155977537,0.2790092365550337,0.7971692473000963
7Networks_RH_Cont_Par_1,0.9907938311596024,0.03561713789664521,0.32211011682353563,0.8052752920588391
7Networks_RH_Cont_Par_2,1.549984971422506,0.05567393668857547,0.1215726687330438,0.6135807714054738
7Networks_RH_Cont_PFCl_1,0.8139729526943004,0.02925112358788837,0.4159226406155311,0.8665055012823565
7Networks_RH_Cont_PFCl_2,0.14245545185635733,0.005121984459523244,0.8867590939067957,0.9334306251650482
