,t,d,p,p_fdr
7Networks_RH_DorsAttn_Post_4,-3.263992003242421,-0.2408034791472901,0.001098542659960065,0.006826247743219955
7Networks_RH_DorsAttn_Post_5,-1.6029090456058486,-0.11722791705036142,0.10895473632160102,0.17573344568000165
7Networks_RH_DorsAttn_PrCv_1,-0.06898582912562652,-0.016365267850631558,0.9450008993446453,0.9545463629743892
7Networks_RH_DorsAttn_FEF_1,-1.4796359232746852,-0.09869747029222282,0.1389704342231311,0.2138006680355863
7Networks_RH_SalVentAttn_TempOccPar_1,-1.9101269468630455,-0.15669855094067253,0.056116870215939155,0.10203067311988936
7Networks_RH_SalVentAttn_TempOccPar_2,-2.570918332553936,-0.1989128707952787,0.010142924261961637,0.02358819595805032
7Networks_RH_SalVentAttn_FrOperIns_1,-0.28089136697052286,-0.01606213001160412,0.7787937223556513,0.8558172773139024
7Networks_RH_SalVentAttn_Med_1,-1.979012253683709,-0.1321476539045047,0.04781462665169852,0.09021627670131796
7Networks_RH_SalVentAttn_Med_2,-0.17776932872508805,-0.02079213221903658,0.8589041357754335,0.9041096166057194
7Networks_RH_Limbic_OFC_1,-3.2566442286067856,-0.23772355874123463,0.0011273763926894155,0.006826247743219955
7Networks_RH_Limbic_TempPole_1,-2.8090256496053985,-0.21832276573129378,0.004969168737511635,0.014054188931054989
7Networks_RH_Cont_Par_1,-3.521002066569837,-0.2672618631692137,0.0004299192660672868,0.004776880734080965
7Networks_RH_Cont_Par_2,-3.2096627086243315,-0.24048274531985106,0.001328908103476416,0.006994253176191663
7Networks_RH_Cont_PFCl_1,-3.1690740278202907,-0.2258381151388365,0.0015292543956154498,0.007646271978077248
7Networks_RH_Cont_PFCl_2,-1.9538565575375604,-0.15897402156280044,0.05071818341669641,0.09392256188277112
7Networks_RH_Cont_PFCl_3,-2.270395917831957,-0.15869064319863496,0.023183571949584363,0.05039906945561818
7Networks_RH_Cont_PFCl_4,-2.9713194760918666,-0.22678158618608105,0.002965231436535623,0.009884104788452076
7Networks_RH_Cont_Cing_1,-0.6144476458502965,-0.037688257211390574,0.5389195591360024,0.6493006736578343
7Networks_RH_Cont_PFCmp_1,-1.2209354940276755,-0.09798763606565161,0.22211044425741489,0.3173006346534499
7Networks_RH_Cont_pCun_1,-2.909582813980463,-0.2229685809974402,0.0036191149127468005,0.010967014887111517
7Networks_RH_Default_Par_1,-3.3281702256446892,-0.24559124151681774,0.0008741843346694238,0.006244173819067312
7Networks_RH_Default_Temp_1,-2.3022726940195404,-0.1879926231090455,0.021319798709682355,0.047377330465960786
7Networks_RH_Default_Temp_2,-2.9919005074717044,-0.236661794223163,0.0027724660290967813,0.009884104788452076
7Networks_RH_Default_Temp_3,-0.18173518372005115,-0.041536497929580536,0.8557905531157372,0.9041096166057194
7Networks_RH_Default_PFCv_1,-2.076502470314211,-0.15676571241616954,0.0378475028897099,0.07421078997982333
7Networks_RH_Default_PFCv_2,-3.100751540059683,-0.23751121983173973,0.0019303018516160766,0.007663235628555942
7Networks_RH_Default_PFCdPFCm_1,-2.9365936170452787,-0.1918363081261991,0.003318386433758639,0.010369957605495746
7Networks_RH_Default_PFCdPFCm_2,-2.6083237151501044,-0.1939658990076851,0.009098686349508644,0.021663538927401534
7Networks_RH_Default_PFCdPFCm_3,-2.7637215372858095,-0.19908549901724215,0.00571462848931673,0.01529459276876216
7Networks_RH_Default_pCunPCC_1,-3.128630614808093,-0.23666590350134012,0.0017562293591178626,0.007663235628555942
7Networks_RH_Default_pCunPCC_2,-1.9906200756279495,-0.14783004305131697,0.04652267146073388,0.08946667588602669
