,t,p,p_fdr
7Networks_RH_DorsAttn_Post_5,-1.136971023763416,0.2663312419876668,0.443885403312778
7Networks_RH_DorsAttn_PrCv_1,-1.9407569316911157,0.0636437326732687,0.2665993351820098
7Networks_RH_DorsAttn_FEF_1,-2.408394556420167,0.023722372821154324,0.23722372821154322
7Networks_RH_SalVentAttn_TempOccPar_1,-2.707350735789599,0.012051320932885586,0.21619883010553403
7Networks_RH_SalVentAttn_TempOccPar_2,-1.6136627278396207,0.119153651233244,0.2665993351820098
7Networks_RH_SalVentAttn_FrOperIns_1,-1.0049211080745653,0.3245629743966253,0.49932765291788506
7Networks_RH_SalVentAttn_Med_1,-1.8168788515409158,0.08124408584052444,0.2665993351820098
7Networks_RH_SalVentAttn_Med_2,-1.1836435810654322,0.24768725813740658,0.4345390493638712
7Networks_RH_Limbic_OFC_1,-0.5774982816402103,0.5687680115157387,0.6852626644767937
7Networks_RH_Limbic_TempPole_1,-0.7522609450342506,0.45891895393349535,0.6201607485587776
7Networks_RH_Cont_Par_1,-0.8922874398337739,0.38074740919484795,0.5439248702783542
7Networks_RH_Cont_Par_2,-0.546475141613936,0.5895838778379465,0.6936280915740548
7Networks_RH_Cont_PFCl_1,-0.3126736118542229,0.7571220046818357,0.799443764213883
7Networks_RH_Cont_PFCl_2,-1.2117800279026723,0.23692588338964668,0.42308193462436905
7Networks_RH_Cont_PFCl_3,-1.1571967987623522,0.25812941397103184,0.44339644198116085
7Networks_RH_Cont_PFCl_4,-0.48109766080375194,0.634631103964719,0.7207770717384291
7Networks_RH_Cont_Cing_1,-1.9257700873165242,0.0655788173277548,0.2665993351820098
7Networks_RH_Cont_PFCmp_1,-0.9301490650399158,0.3611892450736305,0.5311606545200448
7Networks_RH_Cont_pCun_1,-1.5480320645683514,0.13418171897911368,0.2854930191044972
7Networks_RH_Default_Par_1,-0.3984308425180448,0.6936951124720934,0.7639191959704608
7Networks_RH_Default_Temp_1,-0.29892771884816866,0.7674660136453276,0.799443764213883
7Networks_RH_Default_Temp_2,-0.9866063813449115,0.3332887070486449,0.5049828894676437
7Networks_RH_Default_Temp_3,-1.675437627210017,0.10631322645370196,0.2665993351820098
7Networks_RH_Default_PFCv_1,-0.7159111667931697,0.4806802950332886,0.6324740724122218
7Networks_RH_Default_PFCv_2,-0.732308584254253,0.47079057401064917,0.6277207653475322
7Networks_RH_Default_PFCdPFCm_1,-0.18283974664924516,0.8563984425036328,0.8738759617384009
7Networks_RH_Default_PFCdPFCm_2,-0.02049505749358589,0.9838111576292028,0.9937486440699018
7Networks_RH_Default_PFCdPFCm_3,-0.48595618168350513,0.6312305632311407,0.7207770717384291
7Networks_RH_Default_pCunPCC_1,-1.9974495711062248,0.05676923902818967,0.2665993351820098
7Networks_RH_Default_pCunPCC_2,-0.6052737194041542,0.550452651158726,0.6847188646648805
